CurrentEquipmentDays,MonthsInService,MonthlyMinutes,PercChangeMinutes,TotalRecurringCharge,OffPeakCallsInOut,PercChangeRevenues,MonthlyRevenue,PeakCallsInOut,OverageMinutes,ReceivedCalls,UnansweredCalls,Churn
609.0,20,23.0,-23.0,70.0,1.0,-5.9,65.9,5.0,0.0,0.0,0.3,1
609.0,20,249.0,4.0,30.0,16.3,-1.9,32.97,121.0,8.0,93.9,9.7,0
124.0,26,1907.0,283.0,75.0,247.7,56.8,94.24,167.3,48.0,583.1,54.3,0
671.0,22,1257.0,-19.0,45.0,48.3,-6.6,41.55,44.0,26.0,92.6,26.3,0
190.0,26,124.0,-5.0,50.0,2.7,-6.5,57.27,14.3,17.0,9.0,1.3,0
671.0,22,234.0,14.0,32.0,18.0,-0.6,32.07,49.0,0.0,27.2,13.7,0
363.0,20,263.0,-31.0,30.0,68.7,-30.1,56.96,69.0,92.0,47.6,18.3,1
778.0,26,315.0,92.0,40.0,36.0,0.4,30.11,108.0,2.0,33.2,21.3,0
239.0,24,820.0,-192.0,75.0,23.3,-2.1,81.06,318.7,6.0,246.2,38.7,0
717.0,24,12.0,0.0,32.0,1.0,0.0,32.49,4.7,0.0,0.5,0.7,0
329.0,20,572.0,-572.0,30.0,53.3,-166.5,134.78,57.0,199.0,90.8,59.7,0
318.0,20,653.0,67.0,55.0,48.7,28.3,85.37,178.3,83.0,127.3,23.3,0
717.0,24,515.0,16.0,50.0,50.7,1.0,53.34,86.0,10.0,143.5,31.0,1
717.0,24,249.0,36.0,35.0,45.3,-0.4,37.2,44.3,0.0,34.6,1.7,0
362.0,26,22.0,-22.0,40.0,0.7,0.0,29.99,5.3,0.0,0.2,0.0,0
172.0,26,134.0,-80.0,45.0,0.0,0.0,42.74,0.0,0.0,0.0,0.0,0
717.0,24,414.0,-11.0,42.0,100.3,-4.1,51.43,90.7,18.0,151.1,27.0,0
717.0,24,916.0,147.0,60.0,87.3,-0.7,50.73,45.0,0.0,295.6,14.7,0
195.0,26,1158.0,-86.0,60.0,157.0,4.7,55.47,134.7,16.0,425.3,24.3,0
671.0,22,1590.0,-20.0,49.0,184.3,4.0,40.35,92.7,5.0,1038.8,27.3,1
453.0,20,686.0,-262.0,60.0,120.7,-9.4,63.08,202.0,28.0,210.4,56.7,1
6.0,22,865.0,-77.0,58.0,41.7,-44.3,107.53,26.0,154.0,69.2,8.0,0
163.0,22,982.0,-20.0,45.0,213.3,-29.6,150.57,218.7,272.0,219.7,28.7,0
717.0,24,306.0,-126.0,50.0,37.7,0.6,50.41,38.7,0.0,79.9,7.0,0
22.0,24,1036.0,842.0,35.0,164.3,158.4,130.3,183.0,167.0,421.0,57.3,0
388.0,24,884.0,-750.0,30.0,202.0,-98.5,131.52,282.3,307.0,184.5,183.0,0
609.0,20,198.0,67.0,32.0,14.7,17.1,57.54,68.0,72.0,101.0,3.0,0
609.0,20,86.0,-31.0,10.0,1.0,-0.4,13.4,17.7,1.0,4.0,5.3,0
65.0,22,454.0,-62.0,30.0,76.7,-5.6,37.53,50.0,14.0,64.7,8.7,0
609.0,20,190.0,-142.0,30.0,49.3,-8.2,41.15,35.3,22.0,69.1,19.0,0
101.0,20,159.0,-36.0,41.0,16.0,-45.0,76.0,38.3,25.0,16.1,16.7,0
177.0,24,536.0,-125.0,45.0,56.3,-7.1,71.83,99.3,105.0,58.6,25.0,1
717.0,24,257.0,-76.0,45.0,25.3,-10.8,46.77,47.7,24.0,18.2,15.3,0
717.0,24,272.0,-16.0,32.0,60.7,-1.0,39.21,61.0,9.0,91.1,24.7,1
406.0,24,141.0,-141.0,30.0,15.3,-0.3,30.25,40.7,0.0,18.1,14.3,0
577.0,20,1824.0,482.0,85.0,222.3,118.6,267.12,363.0,672.0,361.7,46.0,1
288.0,26,104.0,139.0,18.0,1.3,9.4,21.61,9.3,0.0,0.8,16.7,0
282.0,22,464.0,-108.0,45.0,77.0,-7.8,42.76,73.0,15.0,68.6,72.3,0
609.0,20,536.0,-63.0,50.0,73.0,-9.4,59.37,55.3,27.0,98.3,33.7,1
778.0,26,72.0,-30.0,22.0,5.3,-22.4,22.53,32.3,0.0,10.8,9.0,0
702.0,24,539.0,143.0,45.0,71.3,26.9,54.72,60.3,28.0,306.7,23.0,0
717.0,24,225.0,55.0,30.0,31.3,0.0,30.0,61.0,0.0,54.1,11.3,0
228.0,22,178.0,-74.0,60.0,4.3,0.0,49.99,51.3,0.0,53.3,22.3,1
132.0,26,1250.0,562.0,50.0,193.7,129.4,78.19,72.0,126.0,283.7,30.3,0
522.0,26,452.0,-38.0,50.0,34.7,-0.2,50.25,35.0,0.0,3.9,12.7,0
671.0,22,256.0,-98.0,30.0,40.0,-26.1,26.07,97.7,18.0,78.3,13.3,1
609.0,20,487.0,-41.0,85.0,23.7,2.0,126.7,122.0,187.0,107.9,11.0,0
108.0,22,663.0,318.0,30.0,64.0,94.9,138.14,77.0,285.0,61.7,61.0,1
92.0,26,110.0,70.0,32.0,13.7,0.1,27.45,48.7,4.0,28.0,12.3,0
243.0,22,1004.0,-153.0,52.0,112.3,-14.4,53.63,196.0,7.0,206.6,31.3,0
252.0,20,674.0,-350.0,25.0,174.3,-63.3,74.86,147.7,134.0,143.6,38.3,0
716.0,24,52.0,-21.0,30.0,5.3,0.7,30.24,20.0,0.0,0.0,2.3,0
600.0,20,570.0,-14.0,50.0,47.0,-13.1,73.93,59.7,22.0,126.6,16.3,1
199.0,26,107.0,-23.0,50.0,5.0,0.0,50.0,53.7,0.0,42.9,4.0,1
333.0,22,2057.0,38.0,70.0,223.3,-60.4,143.76,160.0,224.0,425.2,119.3,0
716.0,24,266.0,76.0,50.0,26.7,3.0,52.41,90.7,0.0,44.2,13.7,0
432.0,24,313.0,105.0,30.0,78.0,0.7,39.09,83.0,20.0,135.0,7.7,1
602.0,26,14.0,-7.0,32.0,5.3,0.0,32.49,0.3,0.0,0.0,0.7,0
430.0,26,725.0,-26.0,52.0,70.7,-3.5,54.56,140.7,10.0,149.4,36.3,0
608.0,20,173.0,4.0,32.0,0.7,-4.0,37.97,41.3,17.0,11.0,2.0,1
53.0,22,382.0,69.0,50.0,16.0,-44.7,50.14,52.0,0.0,67.6,20.3,1
178.0,22,590.0,129.0,30.0,140.0,44.7,118.64,198.7,253.0,42.9,104.3,1
670.0,22,895.0,150.0,45.0,93.0,2.4,36.45,71.3,3.0,211.7,32.3,0
777.0,26,2.0,4.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0
357.0,26,98.0,-23.0,20.0,10.0,0.0,13.25,29.0,0.0,53.6,3.7,1
14.0,24,1021.0,453.0,75.0,100.3,-9.3,74.28,225.7,2.0,146.5,62.0,0
111.0,24,153.0,40.0,30.0,0.0,-0.2,33.4,0.0,0.0,0.0,0.3,0
86.0,20,1756.0,-100.0,81.0,369.0,45.3,133.42,254.0,76.0,429.3,40.0,1
304.0,20,274.0,30.0,30.0,39.3,8.1,65.31,68.0,100.0,37.1,15.3,1
716.0,24,5.0,-5.0,45.0,1.0,0.0,35.03,3.3,0.0,1.1,2.3,0
168.0,26,304.0,26.0,45.0,0.0,6.8,40.52,0.0,6.0,0.0,0.0,0
1.0,20,2097.0,-403.0,82.0,248.0,66.1,103.45,359.0,89.0,264.9,60.7,1
269.0,26,24.0,-17.0,20.0,0.0,-3.0,26.29,7.3,7.0,0.0,1.3,0
-2.0,26,1050.0,448.0,50.0,93.0,93.8,85.55,96.7,80.0,349.9,35.3,0
122.0,24,264.0,-264.0,45.0,55.7,0.0,34.99,35.7,0.0,4.0,32.0,1
608.0,20,190.0,30.0,45.0,26.0,-0.8,35.8,49.7,0.0,9.3,4.7,0
202.0,24,948.0,125.0,10.0,123.3,-18.6,28.6,226.7,70.0,383.3,13.0,1
607.0,20,0.0,0.0,5.0,0.0,0.0,5.04,0.0,0.0,0.0,2.0,1
397.0,22,262.0,153.0,32.0,11.0,18.5,52.7,36.7,26.0,37.1,9.3,1
670.0,22,473.0,-44.0,40.0,53.0,-5.2,35.15,57.0,15.0,7.6,33.0,1
271.0,22,329.0,-2.0,40.0,41.3,-15.1,70.07,147.0,71.0,64.8,28.3,0
715.0,24,85.0,16.0,32.0,18.7,0.0,31.98,29.3,0.0,14.8,7.7,1
777.0,26,232.0,14.0,30.0,13.7,0.0,29.99,83.0,0.0,37.4,22.3,0
348.0,20,557.0,47.0,56.0,58.7,-9.5,77.89,103.0,74.0,148.4,60.0,1
410.0,26,320.0,238.0,30.0,30.3,59.1,52.54,54.3,44.0,46.1,3.3,0
716.0,24,617.0,-204.0,30.0,207.3,-3.7,37.97,118.7,9.0,196.1,45.0,0
716.0,24,443.0,260.0,50.0,36.7,33.2,68.08,119.0,43.0,51.8,28.3,1
608.0,20,13.0,-13.0,17.0,2.7,-1.4,18.41,3.3,2.0,0.7,1.0,0
81.0,22,303.0,-60.0,50.0,31.0,1.7,49.83,106.7,6.0,37.3,23.3,0
81.0,22,959.0,-79.0,85.0,21.7,-37.1,130.09,246.3,162.0,213.7,24.0,0
57.0,22,338.0,126.0,30.0,3.7,7.9,75.72,5.3,85.0,0.0,16.3,1
716.0,24,121.0,-9.0,30.0,11.3,-1.5,34.74,30.0,4.0,30.0,11.3,0
716.0,24,199.0,-104.0,30.0,14.7,-27.9,61.2,71.3,82.0,39.5,22.0,0
103.0,26,948.0,238.0,45.0,174.7,-0.5,33.73,70.3,0.0,368.4,33.3,0
608.0,20,332.0,-57.0,42.0,15.0,-17.9,80.96,79.0,77.0,15.4,12.0,1
218.0,24,439.0,-47.0,30.0,79.3,-8.9,38.88,152.7,24.0,156.5,26.7,0
220.0,20,555.0,-214.0,95.0,45.7,-4.0,89.0,154.7,0.0,157.7,28.0,0
433.0,20,279.0,-33.0,50.0,31.7,1.4,58.77,59.0,0.0,52.9,7.3,0
715.0,24,71.0,8.0,30.0,18.3,0.2,30.73,16.7,0.0,4.9,4.3,0
669.0,22,290.0,-160.0,30.0,31.7,-46.1,85.28,77.0,104.0,41.2,15.3,0
173.0,24,270.0,10.0,43.0,38.3,-6.5,42.16,68.7,22.0,74.3,15.7,0
776.0,26,185.0,-62.0,30.0,8.3,0.0,30.03,65.0,0.0,55.4,1.3,0
669.0,22,22.0,40.0,30.0,0.3,0.0,29.99,8.0,0.0,2.7,0.0,0
607.0,20,15.0,2.0,20.0,0.3,-0.2,20.17,6.7,0.0,2.4,0.3,1
669.0,22,2.0,-2.0,17.0,0.0,0.0,16.99,0.7,0.0,0.0,0.0,0
607.0,20,716.0,44.0,50.0,122.0,-3.9,56.81,97.0,0.0,241.5,23.0,0
567.0,20,308.0,-13.0,95.0,22.3,-0.8,85.75,30.0,0.0,10.1,5.0,0
94.0,24,294.0,16.0,40.0,37.7,-9.9,50.86,77.7,2.0,58.0,28.3,0
67.0,26,1736.0,-25.0,121.0,100.0,-21.4,144.29,314.7,64.0,614.9,88.0,0
150.0,22,1433.0,87.0,100.0,59.7,-0.9,104.15,343.7,0.0,752.5,51.3,0
96.0,24,1700.0,-1223.0,58.0,201.7,-231.6,189.17,332.0,199.0,307.4,174.3,0
607.0,20,505.0,-65.0,50.0,15.0,-4.8,53.3,91.3,16.0,84.1,13.0,0
669.0,22,0.0,0.0,50.0,0.0,0.0,49.99,0.0,0.0,0.0,0.0,0
617.0,24,331.0,-243.0,30.0,30.0,-2.5,32.54,33.0,6.0,67.0,33.0,0
669.0,22,627.0,-129.0,10.0,49.3,2.5,17.43,186.3,0.0,122.8,37.3,1
97.0,24,324.0,51.0,30.0,36.3,6.9,34.28,112.7,8.0,55.9,28.3,0
776.0,26,151.0,51.0,30.0,20.3,13.4,38.97,31.0,24.0,19.9,20.7,1
451.0,24,319.0,-89.0,45.0,42.7,0.0,34.99,19.0,0.0,65.3,23.0,0
398.0,26,292.0,-48.0,50.0,41.0,1.0,56.93,63.0,0.0,20.8,16.7,0
669.0,22,108.0,-32.0,30.0,7.7,0.0,29.99,42.0,7.0,1.3,18.0,1
607.0,20,1.0,1.0,10.0,0.0,-0.1,10.09,1.0,0.0,0.2,1.3,1
607.0,20,1950.0,620.0,89.0,298.3,-0.3,92.65,238.7,47.0,484.2,28.0,0
776.0,26,742.0,-80.0,60.0,100.0,-0.2,50.24,105.0,0.0,15.4,47.7,0
456.0,26,255.0,-153.0,50.0,4.3,-34.2,75.15,14.0,100.0,0.0,0.0,0
715.0,24,8.0,-4.0,17.0,1.7,-0.6,17.57,2.3,2.0,0.6,1.3,0
234.0,20,576.0,-78.0,85.0,65.7,-9.8,103.25,156.0,67.0,169.8,34.7,0
607.0,20,66.0,10.0,32.0,8.0,-25.7,27.55,20.3,0.0,0.1,6.3,1
77.0,26,2301.0,-2301.0,48.0,822.7,-118.6,118.59,693.3,188.0,1637.1,206.0,0
297.0,20,630.0,18.0,55.0,0.0,-9.7,79.35,0.0,75.0,0.0,0.0,0
607.0,20,117.0,-2.0,30.0,25.3,-0.6,33.88,18.0,0.0,34.9,8.3,0
607.0,20,7.0,-6.0,20.0,0.7,-0.2,20.18,3.0,0.0,0.0,0.7,1
749.0,26,396.0,0.0,10.0,39.3,0.0,10.0,48.3,0.0,122.7,3.7,0
303.0,15,867.0,137.0,87.0,43.3,5.2,81.73,298.7,68.0,169.9,25.7,1
410.0,22,114.0,-50.0,60.0,28.7,-28.8,44.56,10.7,0.0,4.6,5.0,0
17.0,24,518.0,-9.0,70.0,67.0,-6.0,66.02,168.7,15.0,121.7,40.3,0
351.0,20,590.0,-144.0,45.0,51.7,-17.2,109.4,121.3,139.0,113.6,69.3,1
607.0,20,7.0,-7.0,17.0,0.3,-0.2,17.14,2.3,0.0,0.0,0.0,1
313.0,26,264.0,2.0,60.0,45.7,0.0,47.49,62.3,0.0,37.7,21.3,0
773.0,26,456.0,110.0,30.0,43.0,8.2,66.16,88.3,100.0,22.0,21.3,1
776.0,26,186.0,-8.0,30.0,37.3,0.0,29.99,44.7,0.0,59.6,12.3,0
287.0,24,781.0,-43.0,60.0,75.0,-3.8,53.8,83.3,3.0,168.9,19.7,0
59.0,22,150.0,54.0,30.0,7.3,0.5,31.94,16.7,1.0,1.6,4.0,0
714.0,24,1174.0,255.0,50.0,195.0,47.6,88.69,160.7,94.0,385.5,43.0,1
606.0,20,76.0,112.0,17.0,2.7,38.6,35.91,7.7,35.0,1.8,2.0,0
160.0,22,1044.0,123.0,85.0,143.3,2.3,89.03,269.0,0.0,399.3,22.3,0
668.0,22,35.0,-10.0,35.0,4.3,-0.5,35.48,15.0,0.0,0.7,6.0,1
29.0,22,180.0,-64.0,50.0,18.7,-2.1,52.1,21.0,0.0,40.6,8.7,1
714.0,24,540.0,-23.0,30.0,44.7,4.0,71.7,139.0,111.0,158.8,27.0,0
668.0,22,0.0,0.0,30.0,0.0,0.0,29.99,0.0,0.0,0.0,0.0,1
775.0,26,268.0,73.0,15.0,25.0,21.0,88.98,74.7,222.0,22.0,11.0,0
309.0,22,253.0,-31.0,10.0,24.3,-0.5,10.49,23.3,0.0,7.1,10.3,0
668.0,22,40.0,26.0,30.0,5.7,0.4,30.61,5.7,0.0,0.0,3.3,0
714.0,24,498.0,16.0,50.0,28.0,-2.3,52.31,109.0,3.0,62.6,43.7,0
714.0,24,445.0,-106.0,55.0,27.3,-9.8,49.75,45.7,0.0,20.2,16.7,0
34.0,26,241.0,81.0,30.0,23.0,-0.5,30.45,66.0,0.0,34.0,17.3,0
336.0,24,412.0,-70.0,45.0,38.3,-0.2,35.16,69.3,0.0,93.2,16.0,1
328.0,26,623.0,-27.0,35.0,113.7,30.2,73.13,143.3,70.0,150.6,61.0,1
632.0,21,880.0,-12.0,45.0,90.0,19.1,44.27,92.7,152.0,219.0,16.0,0
175.0,20,532.0,-102.0,45.0,42.0,-35.3,93.31,149.3,123.0,37.9,55.3,1
89.0,26,3.0,-3.0,10.0,1.3,0.0,10.0,2.3,0.0,2.7,0.7,0
668.0,22,206.0,196.0,40.0,15.7,44.4,54.77,21.7,42.0,1.1,2.7,0
247.0,20,255.0,15.0,30.0,29.7,-4.3,34.72,39.0,14.0,104.1,31.0,0
606.0,20,377.0,-122.0,30.0,21.3,-32.5,67.39,178.3,110.0,57.5,28.7,1
364.0,24,619.0,61.0,50.0,46.7,0.2,59.52,193.0,0.0,212.2,19.3,1
52.0,26,338.0,478.0,10.0,9.0,16.4,16.15,15.0,10.0,9.9,3.3,0
606.0,20,118.0,-35.0,36.0,12.7,-6.5,36.51,37.3,0.0,20.1,6.7,0
406.0,14,31.0,3.0,30.0,6.0,-0.6,20.63,8.0,0.0,4.1,2.0,1
386.0,26,726.0,-85.0,60.0,53.7,-1.6,51.56,122.3,5.0,260.3,20.3,0
304.0,20,1060.0,28.0,75.0,90.3,-0.7,75.67,124.0,0.0,233.2,32.0,0
310.0,22,243.0,231.0,60.0,32.0,-1.2,54.49,53.7,0.0,39.7,21.7,0
668.0,22,148.0,-10.0,30.0,40.3,-7.7,38.64,55.0,23.0,34.4,20.0,0
606.0,20,151.0,-1.0,32.0,1.7,-0.1,33.84,45.7,0.0,6.7,7.7,0
668.0,22,215.0,11.0,44.0,24.7,2.9,47.07,54.7,6.0,59.2,4.3,0
775.0,26,54.0,2.0,30.0,4.3,0.0,29.99,7.3,0.0,7.3,6.3,0
668.0,22,499.0,-200.0,60.0,22.0,-14.2,76.13,101.3,11.0,53.7,10.3,0
129.0,26,232.0,-232.0,10.0,86.3,86.0,63.99,126.7,48.0,159.6,42.7,0
668.0,22,295.0,-24.0,50.0,21.7,-7.7,62.09,74.0,0.0,27.9,18.3,0
148.0,20,274.0,-44.0,30.0,55.0,-1.4,31.55,76.0,0.0,92.5,36.0,0
303.0,24,158.0,26.0,30.0,20.3,0.8,34.42,32.3,2.0,9.6,14.3,1
214.0,26,220.0,-110.0,40.0,48.7,-15.1,15.09,85.7,0.0,27.1,39.7,0
277.0,22,278.0,-278.0,100.0,16.7,-8.0,92.99,16.0,0.0,16.3,7.7,1
363.0,20,342.0,86.0,50.0,30.7,-0.5,53.8,30.3,0.0,18.0,7.3,0
249.0,20,102.0,26.0,30.0,18.7,-0.3,30.26,35.0,0.0,17.3,9.3,0
535.0,26,105.0,244.0,50.0,7.0,1.2,53.99,10.0,0.0,0.0,8.3,1
646.0,22,224.0,-96.0,47.0,11.7,0.0,34.99,17.7,0.0,13.6,7.3,0
5.0,26,1408.0,-122.0,40.0,0.0,13.5,49.13,0.0,19.0,0.0,0.0,0
64.0,22,1064.0,52.0,60.0,65.3,0.0,49.99,74.7,1.0,76.0,36.0,0
667.0,22,206.0,358.0,55.0,48.7,22.6,60.58,78.0,0.0,27.0,23.0,0
233.0,20,200.0,-68.0,30.0,0.0,-11.5,48.45,0.0,32.0,0.0,0.0,0
667.0,22,0.0,0.0,20.0,0.0,0.0,19.99,0.0,0.0,0.0,0.0,1
605.0,20,118.0,-68.0,25.0,21.7,-3.1,28.13,26.0,0.0,11.7,11.0,1
605.0,20,358.0,-82.0,45.0,19.0,-14.6,56.08,85.3,42.0,97.4,12.3,0
358.0,26,976.0,127.0,87.0,48.0,2.8,92.72,261.7,0.0,282.6,34.0,1
667.0,22,450.0,183.0,32.0,15.7,37.8,43.47,109.7,42.0,85.1,30.3,0
157.0,20,171.0,38.0,30.0,17.3,0.5,30.52,47.3,1.0,39.0,21.3,1
667.0,22,567.0,137.0,50.0,56.7,4.8,87.12,105.7,111.0,110.8,32.7,0
428.0,24,377.0,-30.0,30.0,0.0,0.9,56.81,0.0,84.0,0.0,0.0,0
667.0,24,266.0,-83.0,30.0,27.7,-1.6,31.57,44.0,4.0,37.4,11.3,1
494.0,22,194.0,12.0,30.0,37.7,-0.4,30.79,48.3,0.0,75.1,13.0,0
296.0,22,1120.0,222.0,41.0,268.7,-35.3,77.23,135.3,1.0,122.7,110.0,0
-2.0,26,263.0,-94.0,33.0,78.7,-5.4,49.82,80.3,2.0,38.7,46.7,0
102.0,24,1546.0,-95.0,60.0,94.0,-3.4,58.2,98.0,16.0,332.8,30.7,0
60.0,20,104.0,-22.0,30.0,8.3,-6.4,47.63,24.3,1.0,0.9,6.3,1
303.0,22,881.0,-321.0,60.0,197.7,-3.0,58.99,162.3,6.0,292.6,63.3,1
197.0,26,744.0,65.0,140.0,32.3,-0.5,143.74,187.0,0.0,445.2,12.7,0
667.0,22,10.0,-3.0,15.0,2.7,-4.8,14.83,2.3,0.0,0.4,1.7,0
444.0,22,1878.0,-808.0,84.0,234.7,-150.0,150.02,232.0,358.0,566.8,79.3,1
153.0,20,426.0,-102.0,30.0,62.3,-6.3,36.26,182.0,20.0,140.0,37.3,0
417.0,24,364.0,-27.0,41.0,78.0,-35.6,76.62,48.3,0.0,68.6,34.0,0
165.0,20,464.0,154.0,10.0,70.0,6.7,16.82,100.3,26.0,68.0,24.0,0
137.0,22,1354.0,-337.0,50.0,277.7,-89.9,123.06,222.0,198.0,484.7,49.0,0
458.0,24,119.0,34.0,30.0,27.7,0.0,29.99,24.3,0.0,15.0,6.3,1
311.0,26,50.0,5.0,30.0,3.3,0.0,29.99,21.3,0.0,7.2,1.3,0
65.0,22,987.0,-987.0,68.0,50.0,-54.9,104.9,29.3,116.0,23.0,15.7,0
223.0,26,1102.0,612.0,72.0,33.3,213.1,213.57,79.7,404.0,316.9,11.7,0
683.0,24,46.0,4.0,30.0,3.0,1.0,30.98,7.7,0.0,3.7,1.3,1
386.0,26,955.0,-168.0,60.0,34.0,-32.1,98.03,96.3,112.0,155.2,66.7,1
160.0,24,347.0,-347.0,10.0,70.7,87.0,63.01,79.3,38.0,189.0,20.3,0
403.0,20,467.0,127.0,45.0,122.7,-2.1,37.11,119.3,4.0,135.8,21.3,0
667.0,22,1299.0,112.0,75.0,244.3,15.7,103.5,267.3,52.0,433.0,61.0,0
605.0,20,156.0,-92.0,30.0,6.0,0.5,30.52,13.3,0.0,25.1,4.0,1
331.0,22,948.0,102.0,60.0,272.3,-9.9,91.74,146.3,65.0,240.8,75.3,0
604.0,20,342.0,-46.0,30.0,39.7,-5.0,38.25,83.3,12.0,146.1,23.0,0
189.0,26,462.0,-181.0,70.0,45.7,-26.6,83.14,122.0,63.0,106.3,41.3,0
712.0,24,348.0,52.0,10.0,41.0,3.1,15.93,142.3,20.0,37.5,2.0,0
712.0,24,0.0,0.0,5.0,0.0,-0.2,5.25,0.0,0.0,0.0,0.0,0
136.0,26,39.0,19.0,15.0,0.7,4.8,21.51,11.3,22.0,0.4,2.3,0
593.0,20,404.0,-39.0,50.0,35.0,-0.4,50.44,120.0,0.0,102.7,6.0,1
604.0,20,327.0,110.0,50.0,19.7,-0.4,50.45,97.0,0.0,110.0,10.0,0
712.0,24,574.0,348.0,32.0,42.3,78.8,70.28,126.0,124.0,170.2,24.7,1
336.0,24,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0
71.0,24,302.0,-145.0,70.0,27.7,0.7,61.23,66.3,0.0,45.2,22.3,0
666.0,22,121.0,10.0,50.0,28.3,0.0,53.25,55.7,0.0,27.3,5.0,0
712.0,24,778.0,106.0,60.0,114.7,6.0,59.31,84.0,0.0,85.7,48.0,0
532.0,26,350.0,-110.0,30.0,43.3,-22.1,55.31,105.3,67.0,82.2,19.3,0
50.0,22,337.0,87.0,30.0,27.0,9.1,43.98,60.0,35.0,74.5,23.0,0
130.0,26,500.0,-20.0,45.0,94.7,-13.3,54.53,76.3,38.0,82.5,26.0,0
773.0,26,107.0,-43.0,30.0,8.0,0.0,29.99,66.7,0.0,10.2,16.7,0
203.0,26,1074.0,578.0,55.0,125.3,25.9,63.51,67.0,32.0,234.7,79.0,0
371.0,26,386.0,335.0,50.0,36.7,96.2,85.44,92.7,80.0,29.9,18.0,1
712.0,24,162.0,-20.0,30.0,13.0,-0.6,33.57,62.7,8.0,18.5,6.3,0
712.0,24,488.0,250.0,75.0,39.3,0.0,78.29,248.7,0.0,183.9,15.0,0
17.0,26,1104.0,-34.0,60.0,166.3,12.7,54.88,107.0,11.0,369.7,80.7,0
666.0,22,1390.0,-147.0,85.0,96.7,-3.3,82.53,207.0,8.0,216.1,35.0,0
773.0,26,53.0,-13.0,32.0,1.3,0.0,32.49,33.0,0.0,9.0,8.3,1
666.0,22,126.0,-32.0,33.0,22.0,0.5,39.83,54.3,21.0,3.6,5.3,0
712.0,24,26.0,-24.0,30.0,12.3,0.0,29.99,10.3,0.0,0.0,0.0,0
51.0,24,509.0,-375.0,45.0,70.7,0.0,34.99,51.0,0.0,125.9,27.3,0
60.0,24,210.0,42.0,32.0,19.0,-1.2,37.65,62.3,0.0,17.0,7.0,0
712.0,24,137.0,-6.0,42.0,5.3,0.0,42.49,4.3,0.0,1.6,2.7,0
273.0,24,402.0,206.0,90.0,0.0,0.5,94.53,0.0,5.0,0.0,0.0,0
604.0,20,665.0,-10.0,50.0,189.3,22.1,57.94,104.7,0.0,251.5,19.3,1
773.0,26,88.0,16.0,32.0,1.7,0.0,32.49,38.3,0.0,28.8,1.7,1
604.0,20,117.0,11.0,32.0,14.0,-0.3,36.03,44.7,0.0,17.1,15.0,0
666.0,22,112.0,-24.0,10.0,15.7,0.7,9.82,48.3,0.0,18.9,6.0,1
399.0,26,202.0,62.0,10.0,14.0,27.6,27.28,70.7,33.0,31.1,13.0,1
773.0,26,255.0,-8.0,10.0,42.7,-2.7,12.99,59.3,0.0,94.7,8.3,1
604.0,20,47.0,33.0,50.0,0.3,1.2,53.46,12.7,0.0,6.7,1.0,1
604.0,20,315.0,-10.0,30.0,24.0,-1.3,31.68,77.0,12.0,16.8,17.7,0
357.0,22,0.0,0.0,25.0,0.0,-28.3,25.06,0.0,0.0,0.0,0.0,1
17.0,20,132.0,102.0,40.0,26.7,12.1,42.06,16.3,12.0,21.2,14.0,0
773.0,26,376.0,100.0,50.0,14.3,-1.4,51.4,60.7,0.0,54.8,13.0,1
178.0,24,1474.0,126.0,45.0,208.3,33.0,143.94,160.0,262.0,263.8,46.7,1
315.0,26,698.0,369.0,82.0,46.0,-14.1,90.05,85.0,22.0,246.6,19.7,0
36.0,26,385.0,214.0,23.0,13.7,47.4,32.01,9.7,45.0,5.6,7.0,0
712.0,24,598.0,-268.0,20.0,79.7,-76.8,66.01,63.0,129.0,79.7,109.0,0
773.0,26,73.0,-64.0,32.0,4.3,-6.7,39.23,14.0,20.0,0.0,10.0,0
251.0,22,714.0,-116.0,85.0,115.7,0.1,76.88,144.7,0.0,123.4,23.7,0
55.0,26,142.0,-63.0,30.0,17.0,-4.4,35.68,48.7,12.0,4.2,0.0,0
604.0,20,546.0,-2.0,50.0,32.0,-5.6,58.95,133.0,23.0,132.9,4.7,1
142.0,26,1556.0,-805.0,71.0,173.3,-120.0,120.75,231.3,242.0,785.3,29.3,1
773.0,26,303.0,-174.0,30.0,43.7,-4.8,35.23,61.3,0.0,25.1,30.7,1
773.0,26,32.0,-12.0,30.0,7.7,-0.3,30.34,21.7,0.0,9.3,2.7,1
325.0,26,289.0,165.0,45.0,41.7,1.1,35.37,61.3,0.0,45.6,12.3,1
414.0,24,553.0,40.0,50.0,62.0,6.0,59.75,142.7,10.0,61.8,42.0,0
123.0,26,782.0,-49.0,75.0,54.0,-0.8,81.03,114.0,0.0,190.7,29.0,0
257.0,20,383.0,173.0,30.0,50.7,32.2,50.42,74.7,39.0,84.4,14.0,0
712.0,24,401.0,24.0,32.0,4.3,-5.5,37.97,54.0,18.0,12.8,5.7,0
603.0,20,544.0,-176.0,30.0,91.0,-14.9,45.94,103.3,37.0,43.1,56.3,0
665.0,22,51.0,9.0,10.0,4.3,-1.3,11.31,33.0,3.0,4.8,10.0,0
772.0,26,478.0,-10.0,30.0,40.7,9.7,87.79,168.7,185.0,83.5,17.7,0
